state,ev_stations,ev_ports,level2_ports,dcfast_ports
Alabama,544,1653,792,859
Alaska,68,173,107,66
Arizona,1488,4513,3213,1298
Arkansas,377,1071,844,227
California,18668,61333,44729,16327
Colorado,2555,6595,5078,1462
Connecticut,1480,4498,3734,754
Delaware,241,749,454,293
D.C.,321,1078,1021,55
Florida,4018,13199,9196,3982
Georgia,2359,7189,5212,1887
Hawaii,385,976,799,176
Idaho,218,621,372,249
Illinois,1680,5007,3080,1923
Indiana,690,2043,1175,868
Iowa,470,1209,680,529
Kansas,561,1294,951,343
Kentucky,371,1082,671,407
Louisiana,286,842,477,365
Maine,617,1513,1147,363
Maryland,1733,5421,4106,1303
Massachusetts,4009,10111,8463,1626
Michigan,1903,5112,3686,1415
Minnesota,1052,2840,2033,794
Mississippi,221,660,355,305
Missouri,1336,3205,2459,745
Montana,148,459,210,249
Nebraska,314,693,472,221
Nevada,638,2586,1518,1064
New Hampshire,296,781,465,313
New Jersey,1687,5398,3496,1891
New Mexico,430,1081,571,509
New York,4993,18093,15349,2733
North Carolina,1915,5671,3948,1714
North Dakota,107,272,131,141
Ohio,1905,5054,3706,1341
Oklahoma,411,1711,636,1074
Oregon,1538,4029,2817,1175
Pennsylvania,2007,5524,3835,1676
Rhode Island,352,864,717,127
South Carolina,658,1967,1199,767
South Dakota,116,312,163,149
Tennessee,1145,3036,2062,974
Texas,3940,11927,7571,4353
Utah,945,2804,2121,679
Vermont,517,1323,1046,258
Virginia,1852,5391,3798,1564
Washington,2747,7632,5770,1847
West Virginia,184,531,328,201
Wisconsin,815,2102,1322,771
Wyoming,117,327,158,168
